,Year,Index,IndexSD,1,2,3,4,5,6,7,8
1,1989,54.51800101,43.38794533,0.921327448,0.032995496,0.028444482,0.008011956,0.003254179,0.004011181,0.001055772,0.000899487
2,1990,8.625073707,4.617825384,0.870354763,0.017733836,0.060814292,0.013109738,0.026498624,0.002769356,0.007560613,0.001158779
3,1991,14.2293429,8.670524326,0.883164735,0.053579826,0.02953436,0.018666866,0.009296103,0.002920116,0.001453225,0.001384769
4,1992,29.10975147,12.97096347,0.897662919,0.029476062,0.049107775,0.017384499,0.002745201,0.001910679,0.00089183,0.000821035
5,1993,30.08289345,13.76615112,0.538774713,0.234145084,0.178932706,0.026207583,0.006741807,0.010748627,0.002221457,0.002228024
6,1994,17.6977034,9.366083131,0.939721316,0.008899009,0.030103056,0.012425747,0.006393774,0.001254333,0.000615645,0.000587119
7,1995,39.61911039,17.28467011,0.828444205,0.123860625,0.026622834,0.011308778,0.005129194,0.002362199,0.001096622,0.001175543
8,1996,32.73030965,11.88481269,0.920653071,0.038436536,0.033174231,0.003357188,0.002226377,0.001100487,0.000534237,0.000517873
9,1997,35.12002084,10.01059244,0.894080283,0.032309105,0.061663537,0.006860259,0.002214844,0.001496892,0.000695888,0.000679192
10,1998,31.14781267,17.85038071,0.931820497,0.020388506,0.028859772,0.006304485,0.00316862,0.006347958,0.000995681,0.002114481
11,1999,156.4040408,32.13417914,0.832775954,0.070935157,0.068518914,0.019610741,0.004612604,0.002538081,0.000519607,0.000488943
12,2000,419.0806312,73.28997894,0.827173872,0.060909033,0.083181123,0.026438282,0.001006511,0.000921887,0.000192469,0.000176823
13,2001,169.7689132,28.92483128,0.757994636,0.044626973,0.166473457,0.016929804,0.00755297,0.00493015,0.000374627,0.001117382
14,2002,433.9294681,65.90444586,0.70789908,0.139730093,0.074174659,0.075562711,0.000602061,0.001644094,0.000196368,0.000190934
15,2003,395.2821566,66.84507126,0.849342454,0.031542145,0.052964167,0.053359126,0.011622494,0.000366436,0.000628156,0.00017502
16,2004,428.3406429,79.06196602,0.863302707,0.01126334,0.054531108,0.013140195,0.044548277,0.012767248,0.00022797,0.000219154
17,2005,467.1165706,85.10475558,0.916885717,0.009908177,0.009543791,0.042199268,0.009678889,0.011114936,0.000142093,0.000527129
18,2006,283.9566889,51.20696031,0.841571818,0.091231667,0.014467542,0.02177527,0.02783757,0.000650368,0.0021589,0.000306865
19,2007,149.9709194,31.2483578,0.770653886,0.097829627,0.064968932,0.031338163,0.016004238,0.009863051,0.008861478,0.000480625
20,2008,378.5014092,60.90638164,0.835988187,0.072039884,0.071357504,0.018161381,0.000924881,0.000606452,0.000602105,0.000319605
21,2009,136.567327,24.47187538,0.706702164,0.155421767,0.078154969,0.05420536,0.003673463,0.000919104,0.000450355,0.000472819
22,2010,190.1177731,31.87045424,0.579119811,0.088774398,0.215958989,0.067389442,0.040062549,0.002987932,0.001237502,0.004469376
23,2011,121.3280676,18.32207454,0.599293704,0.069372802,0.114237691,0.172740418,0.031343623,0.01038731,0.000349564,0.002274888
24,2012,292.2128221,38.22034893,0.485020678,0.339689089,0.073422242,0.038536473,0.047039342,0.007975412,0.007981266,0.000335498
25,2013,345.4203657,48.5390025,0.501874277,0.264256849,0.12075737,0.056899212,0.041633053,0.008729662,0.000232249,0.005617329
26,2014,362.1049819,43.03770408,0.474804026,0.026057941,0.361007765,0.091592175,0.02675099,0.017386705,0.002137042,0.000263355
27,2015,341.1799001,52.02292755,0.589776952,0.054632983,0.081949506,0.250057672,0.019045553,0.002067599,0.000629947,0.001839789
28,2016,525.2953723,69.48601067,0.705212843,0.095393091,0.018659572,0.018359266,0.159912305,0.000767623,0.000160273,0.001535028
29,2017,598.8167083,97.02786764,0.720685313,0.146297548,0.045427842,0.009816284,0.000482479,0.076967577,0.00015118,0.000171777
30,2018,563.7744783,76.90080305,0.647761156,0.069463289,0.178504303,0.028139976,0.000457026,0.000287557,0.075216918,0.000169776
31,2019,378.783112,53.14238436,0.498762791,0.076084543,0.073504626,0.269101444,0.012992691,0.000525154,0.0002604,0.06876835
32,2020,383.6912518,97.96165872,0.265173954,0.364282263,0.00441997,0.038209951,0.272436648,0.001724956,0.000832093,0.052920164
33,2021,327.0067088,49.87685967,0.393223632,0.197158655,0.26095014,0.001302356,0.05663261,0.081433009,0.000247265,0.009052333
